,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
108,Marc Guéhi,eng ENG,DF,23-299,21.4,26.0,17,21.0,5.0,0.0,22.0,17.0,5.0,18,44.0,86.0,1.0
109,Nathaniel Clyne,eng ENG,DF,33-032,12.9,23.0,15,11.0,10.0,2.0,16.0,6.0,10.0,9,32.0,28.0,0.0
110,James Tomkins,eng ENG,DF,35-039,0.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1.0,0.0,0.0
111,James Tarkowski,eng ENG,DF,31-170,36.0,56.0,38,41.0,14.0,1.0,73.0,48.0,25.0,56,112.0,183.0,2.0
112,Jarrad Branthwaite,eng ENG,DF,21-315,32.6,61.0,30,38.0,21.0,2.0,45.0,32.0,13.0,50,111.0,153.0,1.0
113,Vitaliy Mykolenko,ua UKR,DF,24-344,27.4,69.0,38,46.0,21.0,2.0,36.0,11.0,25.0,36,105.0,92.0,0.0
114,Ben Godfrey,eng ENG,DF,26-113,12.4,30.0,20,17.0,8.0,5.0,14.0,8.0,6.0,16,46.0,57.0,0.0
115,Nathan Patterson,sct SCO,DF,22-204,11.2,34.0,24,21.0,11.0,2.0,14.0,3.0,11.0,9,43.0,33.0,0.0
116,Séamus Coleman,ie IRL,DF,35-209,5.4,14.0,12,8.0,3.0,3.0,8.0,4.0,4.0,5,19.0,17.0,1.0
117,Michael Keane,eng ENG,DF,31-117,4.9,7.0,3,3.0,3.0,1.0,5.0,4.0,1.0,5,12.0,18.0,1.0
118,Nathan Collins,ie IRL,DF,23-007,28.5,37.0,20,23.0,12.0,2.0,45.0,30.0,15.0,42,79.0,139.0,4.0
119,Ethan Pinnock,jm JAM,DF,30-344,26.0,35.0,23,22.0,13.0,0.0,36.0,23.0,13.0,39,74.0,164.0,2.0
120,Mads Roerslev,dk DEN,DF,24-318,21.1,43.0,27,30.0,9.0,4.0,15.0,3.0,12.0,19,62.0,70.0,0.0
121,Kristoffer Ajer,no NOR,DF,26-020,19.7,38.0,21,25.0,9.0,4.0,25.0,11.0,14.0,24,62.0,78.0,1.0
122,Ben Mee,eng ENG,DF,34-229,14.1,26.0,15,12.0,12.0,2.0,21.0,13.0,8.0,13,39.0,63.0,1.0
123,Sergio Reguilón,es ESP,DF,27-143,10.6,36.0,17,24.0,11.0,1.0,21.0,6.0,15.0,15,51.0,33.0,0.0
124,Mathias Jørgensen,dk DEN,DF,34-014,11.1,15.0,11,13.0,1.0,1.0,9.0,5.0,4.0,12,27.0,38.0,0.0
125,Aaron Hickey,sct SCO,DF,21-332,7.9,16.0,9,9.0,3.0,4.0,7.0,3.0,4.0,3,19.0,10.0,0.0
126,Saman Ghoddos,ir IRN,DF,30-244,7.9,26.0,17,19.0,5.0,2.0,9.0,2.0,7.0,5,31.0,11.0,0.0
127,Rico Henry,eng ENG,DF,26-304,4.5,7.0,5,3.0,3.0,1.0,8.0,3.0,5.0,5,12.0,5.0,1.0
128,Murillo,br BRA,DF,21-308,29.0,46.0,29,34.0,11.0,1.0,39.0,23.0,16.0,34,80.0,169.0,0.0
129,Ola Aina,ng NGA,DF,27-212,17.8,42.0,27,27.0,12.0,3.0,19.0,3.0,16.0,16,58.0,47.0,1.0
130,Neco Williams,wls WAL,DF,23-024,18.2,69.0,40,42.0,18.0,9.0,44.0,13.0,31.0,22,91.0,53.0,0.0
131,Willy Boly,ci CIV,DF,33-094,14.0,43.0,26,34.0,9.0,0.0,27.0,19.0,8.0,22,65.0,77.0,0.0
132,Moussa Niakhate,sn SEN,DF,28-060,15.2,35.0,21,28.0,7.0,0.0,18.0,11.0,7.0,14,49.0,46.0,0.0
133,Harry Toffolo,eng ENG,DF,28-262,15.0,25.0,13,20.0,5.0,0.0,32.0,12.0,20.0,13,38.0,44.0,0.0
134,Andrew Omobamidele,ie IRL,DF,21-319,8.7,10.0,3,9.0,1.0,0.0,12.0,8.0,4.0,13,23.0,42.0,1.0
135,Gonzalo Montiel,ar ARG,DF,27-127,7.1,16.0,13,9.0,5.0,2.0,7.0,2.0,5.0,7,23.0,29.0,1.0
136,Nuno Tavares,pt POR,DF,24-102,5.1,11.0,7,9.0,1.0,1.0,6.0,0.0,6.0,1,12.0,21.0,0.0
