,Unnamed: 0_level_0_Player,Unnamed: 1_level_0_Nation,Unnamed: 2_level_0_Pos,Unnamed: 3_level_0_Age,Unnamed: 4_level_0_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Unnamed: 17_level_0_Int,Unnamed: 18_level_0_Tkl+Int,Unnamed: 19_level_0_Clr,Unnamed: 20_level_0_Err
131,Manor Solomon,il ISR,FW,24-288,2.2,3.0,3,1.0,1.0,1.0,4.0,0.0,4.0,3,6.0,2.0,0.0
132,Eric Dier,eng ENG,DF,30-113,2.2,2.0,1,2.0,0.0,0.0,3.0,3.0,0.0,2,4.0,12.0,0.0
133,Ivan Perišić,hr CRO,FW,35-095,1.1,3.0,2,1.0,1.0,1.0,1.0,0.0,1.0,2,5.0,1.0,0.0
134,Davinson Sánchez,co COL,DF,27-330,0.9,0.0,0,0.0,0.0,0.0,3.0,2.0,1.0,1,1.0,2.0,0.0
135,Alejo Véliz,ar ARG,FW,20-231,0.6,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
136,Jamie Donley,eng ENG,FW,19-125,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.0,0.0
137,Dane Scarlett,eng ENG,FW,20-044,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
138,Bruno Guimarães,br BRA,MF,26-173,33.3,80.0,46,41.0,29.0,10.0,51.0,14.0,37.0,32,112.0,20.0,0.0
139,Fabian Schär,ch SUI,DF,32-139,32.6,41.0,24,27.0,13.0,1.0,48.0,36.0,12.0,36,77.0,129.0,1.0
140,Anthony Gordon,eng ENG,FW,23-073,30.1,53.0,33,15.0,28.0,10.0,26.0,0.0,26.0,7,60.0,6.0,0.0
141,Dan Burn,eng ENG,DF,31-364,27.3,57.0,30,35.0,19.0,3.0,49.0,20.0,29.0,36,93.0,112.0,1.0
142,Sean Longstaff,eng ENG,MF,26-190,27.9,53.0,29,17.0,28.0,8.0,40.0,7.0,33.0,15,68.0,22.0,0.0
143,Kieran Trippier,eng ENG,DF,33-231,24.0,57.0,27,30.0,16.0,11.0,38.0,8.0,30.0,23,80.0,55.0,3.0
144,Alexander Isak,se SWE,FW,24-229,22.4,4.0,0,2.0,1.0,1.0,15.0,1.0,14.0,5,9.0,10.0,0.0
145,Miguel Almirón,py PAR,FW,30-087,20.7,35.0,24,12.0,15.0,8.0,28.0,2.0,26.0,10,45.0,12.0,0.0
146,Martin Dúbravka,sk SVK,GK,35-113,20.1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6.0,1.0
147,Sven Botman,nl NED,DF,24-116,15.3,20.0,13,14.0,6.0,0.0,20.0,16.0,4.0,9,29.0,61.0,3.0
148,Nick Pope,eng ENG,GK,32-018,13.9,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7.0,2.0
149,Lewis Miley,eng ENG,MF,18-006,13.4,33.0,21,6.0,20.0,7.0,20.0,3.0,17.0,8,41.0,18.0,2.0
150,Joelinton,br BRA,"MF,FW",27-267,12.7,34.0,23,18.0,13.0,3.0,21.0,6.0,15.0,18,52.0,11.0,1.0
151,Jamaal Lascelles,eng ENG,DF,30-178,12.0,14.0,9,7.0,7.0,0.0,17.0,12.0,5.0,5,19.0,42.0,0.0
152,Valentino Livramento,eng ENG,DF,21-177,13.6,23.0,13,15.0,6.0,2.0,15.0,6.0,9.0,23,46.0,37.0,1.0
153,Jacob Murphy,eng ENG,"FW,DF",29-073,11.0,18.0,9,7.0,4.0,7.0,15.0,0.0,15.0,5,23.0,13.0,0.0
154,Callum Wilson,eng ENG,FW,32-070,10.9,5.0,3,0.0,2.0,3.0,6.0,0.0,6.0,2,7.0,4.0,0.0
155,Elliot Anderson,sct SCO,"MF,FW",21-183,9.5,21.0,16,11.0,8.0,2.0,17.0,4.0,13.0,7,28.0,20.0,0.0
156,Harvey Barnes,eng ENG,"FW,MF",26-150,7.8,5.0,1,2.0,2.0,1.0,0.0,0.0,0.0,3,8.0,2.0,0.0
157,Emil Krafth,se SWE,DF,29-279,7.1,20.0,14,9.0,7.0,4.0,7.0,2.0,5.0,7,27.0,13.0,0.0
158,Lewis Hall,eng ENG,DF,19-242,5.7,23.0,14,15.0,8.0,0.0,13.0,0.0,13.0,8,31.0,14.0,0.0
159,Sandro Tonali,it ITA,MF,23-365,4.9,7.0,7,4.0,2.0,1.0,3.0,0.0,3.0,2,9.0,4.0,0.0
160,Joe Willock,eng ENG,MF,24-261,4.7,13.0,7,7.0,6.0,0.0,7.0,0.0,7.0,1,14.0,1.0,0.0
161,Loris Karius,de GER,GK,30-320,1.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.0,0.0
162,Matt Targett,eng ENG,DF,28-232,0.9,2.0,0,1.0,1.0,0.0,1.0,0.0,1.0,0,2.0,2.0,0.0
163,Matt Ritchie,sct SCO,"FW,MF",34-240,1.4,5.0,3,2.0,2.0,1.0,3.0,2.0,1.0,1,6.0,5.0,0.0
164,Ben Parkinson,eng ENG,FW,19-058,0.3,0.0,0,0.0,0.0,0.0,1.0,0.0,1.0,0,0.0,1.0,0.0
165,Paul Dummett,wls WAL,DF,32-224,0.2,1.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,1.0,0.0
166,Alex Murphy,ie IRL,"DF,FW",19-317,0.1,1.0,1,0.0,1.0,0.0,1.0,0.0,1.0,1,2.0,0.0,0.0
167,Joe White,eng ENG,MF,21-219,0.1,1.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0,1.0,0.0,0.0
168,Amadou Diallo,eng ENG,MF,21-082,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
169,Michael Ndiweni,eng ENG,FW,20-157,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0
170,Conor Gallagher,eng ENG,MF,24-091,31.9,80.0,49,35.0,29.0,16.0,47.0,10.0,37.0,40,120.0,25.0,0.0
171,Moisés Caicedo,ec ECU,MF,22-187,29.1,83.0,42,37.0,35.0,11.0,52.0,22.0,30.0,31,114.0,39.0,4.0
172,Axel Disasi,fr FRA,DF,26-057,28.7,33.0,19,20.0,10.0,3.0,26.0,19.0,7.0,18,51.0,102.0,2.0
173,Nicolas Jackson,sn SEN,FW,22-322,28.1,20.0,13,5.0,8.0,7.0,19.0,5.0,14.0,4,24.0,15.0,0.0
174,Thiago Silva,br BRA,DF,39-228,26.1,29.0,15,22.0,6.0,1.0,31.0,22.0,9.0,25,54.0,133.0,4.0
175,Cole Palmer,eng ENG,"FW,MF",22-001,26.0,22.0,12,8.0,6.0,8.0,17.0,1.0,16.0,17,39.0,12.0,2.0
176,Enzo Fernández,ar ARG,MF,23-111,24.5,50.0,22,22.0,18.0,10.0,36.0,13.0,23.0,17,67.0,28.0,0.0
